epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
1,49.21111111111111,21.77777777777778,2.126834528499179
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
2,61.111111111111114,18.233333333333334,2.1784487357669406
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
3,69.06666666666666,100.0,6.810537378704693e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
4,73.07777777777778,100.0,4.563676704937178e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
5,68.16666666666667,100.0,5.090215797072991e-08
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
6,78.32222222222222,100.0,2.032325289474102e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
7,76.67777777777778,100.0,6.291653386627635e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
8,76.14444444444445,100.0,0.00013396030242761805
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
9,75.56666666666666,100.0,0.0008399833333161142
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
1,40.01111111111111,42.03333333333333,1.4829512924618191
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
2,60.577777777777776,10.422222222222222,2.532363062752618
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
3,71.25555555555556,99.96666666666667,0.009470079989482958
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
4,74.46666666666667,100.0,8.463426715429199e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
5,71.66666666666667,100.0,0.00010417140585357426
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
6,76.53333333333333,99.97777777777777,0.004021268100374275
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
7,74.72222222222223,100.0,2.987098850806231e-06
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
8,78.38888888888889,100.0,5.614150714569001e-05
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
1,45.34444444444444,19.455555555555556,2.034678500917223
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
1,54.27777777777778,4.177777777777778,2.6482275257110595
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss
1,48.41111111111111,10.355555555555556,2.6487143870459664
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,precision_clean,recall_clean,f1_clean,benign_accuracy,attack_success_rate
1,28.744444444444444,58.644444444444446,0.9932486685646905,0.74812180358778,0.28744444444444445,0.3500891322117668,0.28744444444444445,0.0
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,precision_clean,recall_clean,f1_clean,benign_accuracy,attack_success_rate
2,54.666666666666664,97.83333333333333,0.07301063379645348,0.7025561755000577,0.5466666666666666,0.5777439189926659,0.5466666666666666,0.0
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,precision_clean,recall_clean,f1_clean,benign_accuracy,attack_success_rate
3,68.9888888888889,99.9888888888889,0.001346636401463507,0.7180667906186347,0.6898888888888889,0.700728462625523,0.6898888888888889,0.0
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,precision_clean,recall_clean,f1_clean,benign_accuracy,attack_success_rate
4,68.4,100.0,3.928461995706635e-05,0.7785347503425575,0.684,0.7135093716004816,0.684,0.0
